in_colemak,in_workman
race,same
quote,quite
come,mile
Will,doff
Sadr,hags
came,male
voter,cites
lofts,firth
rear,seas
woke,dike
doge,gibe
jazz,jazz
tarter,tastes
till,toff
bite,vote
FedEx,regex
Mars,lash
cont,mint
Dame,gale
none,nine
pier,woes
dame,gale
mats,lath
parser,washes
midi,logo
entente,entente
pent,went
Tutu,tutu
lone,fine
Rice,some
sank,hank
quanta,quanta
maze,laze
rand,sang
knot,knit
rifer,sores
zine,zone
Amie,aloe
lemma,fella
fond,ring
leaf,fear
gaffe,barre
pane,wane
taunt,taunt
rake,sake
vicar,comas
maker,lakes
Bayer,vapes
hand,yang
waft,dart
fork,risk
Mont,lint
matte,latte
afire,arose
nuke,nuke
rice,some
antennae,antennae
wand,dang
make,lake
Hume,yule
tank,tank
laze,faze
Attn,attn
viva,coca
cats,math
Hank,yank
next,next
wars,dash
comer,miles
cove,mice
lint,font
diam,goal
wave,dace
Villon,coffin
aver,aces
Lome,file
foll,riff
sate,hate
wank,dank
muter,lutes
Queen,queen
waver,daces
gull,buff
Cote,mite
rawer,sades
fate,rate
gits,both
laxer,faxes
dunk,gunk
Wave,dace
pone,wine
mate,late
tutu,tutu
quit,quot
mane,lane
lever,feces
garter,bastes
Rowe,side
safe,hare
cite,mote
Ryan,span
faggot,rabbit
rower,sides
wean,dean
queen,queen
Pole,wife
pink,wonk
cave,mace
neat,neat
avow,acid
safer,hares
deaf,gear
gate,bate
quite,quote
wove,dice
Bert,vest
extenuate,extenuate
pint,wont
extant,extant
tome,tile
move,lice
taut,taut
viol,coif
wadi,dago
cantor,mantis
eaten,eaten
Igor,obis
peen,ween
doter,gites
Quaker,quakes
sand,hang
geode,beige
date,gate
Mace,lame
Macy,lamp
vibe,cove
Duncan,gunman
time,tole
fave,race
lifer,fores
pond,wing
water,dates
same,hale
agate,abate
canter,mantes
pars,wash
ante,ante
full,ruff
jeez,jeez
weal,deaf
mote,lite
tier,toes
Monk,link
Eben,even
mean,lean
fume,rule
rater,sates
hear,yeas
Maker,lakes
racer,sames
sink,honk
Bart,vast
pike,woke
secy,hemp
matter,lattes
fake,rake
Vader,cages
cure,muse
neaten,neaten
MIDI,logo
barer,vases
fund,rung
caner,manes
mind,long
peak,weak
emote,elite
cane,mane
melt,left
life,fore
vent,cent
reach,seamy
GMAT,blat
biter,votes
reek,seek
lift,fort
amine,alone
wider,doges
cone,mine
conk,mink
gamer,bales
rote,site
over,ices
pole,wife
wafer,dares
vine,cone
land,fang
sort,hist
jejune,jejune
tone,tine
loner,fines
taker,takes
cafe,mare
wits,doth
bane,vane
beef,veer
niter,notes
keen,keen
neut,neut
Faye,rape
lobe,five
peek,week
daunt,gaunt
gent,bent
radar,sagas
coll,miff
mire,lose
vice,come
dine,gone
seam,heal
take,take
vane,cane
cars,mash
cart,mast
toll,tiff
equate,equate
curer,muses
monk,link
Gage,babe
junk,junk
jute,jute
darer,gases
sire,hose
mecca,lemma
Land,fang
katakana,katakana
gars,bash
Cantor,mantis
caver,maces
wort,dist
Mort,list
nods,nigh
hike,yoke
coke,mike
sake,hake
welt,deft
Gavin,bacon
tauten,tauten
mute,lute
sober,hives
beam,veal
Port,wist
rife,sore
taxa,taxa
anent,anent
text,text
teak,teak
zone,zine
mare,lase
mars,lash
kana,kana
deer,gees
later,fates
daze,gaze
tent,tent
Walt,daft
gaffer,barres
fayer,rapes
saber,haves
naan,naan
milt,loft
tame,tale
ream,seal
Deere,geese
faze,raze
salt,haft
cute,mute
Mecca,lemma
wide,doge
rift,sort
whew,dyed
sine,hone
Turk,tusk
antenna,antenna
curt,must
zeta,zeta
hiker,yokes
dink,gonk
view,coed
leer,fees
quits,quoth
jaunt,jaunt
cirque,mosque
taken,taken
heart,yeast
fade,rage
dent,gent
game,bale
toner,tines
tear,teas
vars,cash
boxen,vixen
meek,leek
team,teal
uneaten,uneaten
firer,roses
Boer,vies
meal,leaf
sunk,hunk
seem,heel
Curt,must
jennet,jennet
tuna,tuna
gutter,buttes
knit,knot
pant,want
tine,tone
rent,sent
SARS,hash
corr,miss
purr,wuss
cote,mite
Raymond,sapling
cuter,mutes
Jean,jean
reef,seer
cater,mates
wind,dong
tuner,tunes
cake,make
Coke,mike
Amer,ales
curs,mush
taxer,taxes
borer,vises
queue,queue
yoke,pike
pelt,weft
pots,with
peer,wees
mole,life
foam,rial
Rand,sang
Dada,gaga
exeunt,exeunt
dater,gates
tuque,tuque
Taft,tart
junta,junta
guff,burr
bone,vine
jejuna,jejuna
vote,cite
tents,tenth
lace,fame
Sand,hang
gotten,bitten
seats,heath
feel,reef
molt,lift
wont,dint
seat,heat
lure,fuse
sinew,honed
jean,jean
gullet,buffet
pert,west
knee,knee
wire,dose
year,peas
rime,sole
fiber,roves
rate,sate
cull,muff
lake,fake
hearth,yeasty
rank,sank
mull,luff
wonk,dink
hank,yank
Luce,fume
quot,quit
fire,rose
aqua,aqua
nine,none
SALT,haft
senna,henna
bedder,vegges
teen,teen
gunk,bunk
sods,high
ember,elves
fore,rise
wine,done
faker,rakes
gelid,befog
bent,vent
bare,vase
dace,game
tenant,tenant
dote,gite
part,wast
lave,face
extent,extent
boner,vines
mine,lone
attn,attn
furs,rush
late,fate
lifts,forth
shyer,hypes
vale,cafe
comm,mill
mace,lame
port,wist
Carr,mass
attune,attune
pore,wise
mart,last
teat,teat
tower,tides
will,doff
lifter,fortes
went,dent
aunt,aunt
aquanaut,aquanaut
Leta,feta
Pike,woke
annex,annex
rods,sigh
sower,hides
rind,song
attenuate,attenuate
dull,guff
dolt,gift
tenet,tenet
bore,vise
junket,junket
e'en,e'en
work,disk
tamer,tales
tune,tune
garret,basset
quake,quake
month,linty
